,start,stop,steps_count,average amplitude
0,2021-05-21 09:38:18.067,2021-05-21 09:40:19.234,100,0.5077307556704085
1,2021-05-21 09:38:18.100,2021-05-21 09:40:19.267,100,0.5077876741026911
2,2021-05-21 09:38:18.134,2021-05-21 09:40:19.300,100,0.5078567438402595
3,2021-05-21 09:38:18.167,2021-05-21 09:40:19.334,100,0.5078742891340767
4,2021-05-21 09:38:18.200,2021-05-21 09:40:19.367,100,0.5078319808256525
5,2021-05-21 09:38:18.234,2021-05-21 09:40:19.400,100,0.5077708119376604
6,2021-05-21 09:38:18.267,2021-05-21 09:40:19.434,100,0.5076953749347749
7,2021-05-21 09:38:18.300,2021-05-21 09:40:19.467,100,0.5076285585118803
8,2021-05-21 09:38:18.334,2021-05-21 09:40:19.500,100,0.5075720352444515
9,2021-05-21 09:38:18.367,2021-05-21 09:40:19.534,100,0.5075503179972973
10,2021-05-21 09:38:18.400,2021-05-21 09:40:19.567,100,0.5075699057536278
11,2021-05-21 09:38:18.434,2021-05-21 09:40:19.600,101,0.5076307875968222
12,2021-05-21 09:38:18.467,2021-05-21 09:40:19.634,101,0.5077107578473812
13,2021-05-21 09:38:18.500,2021-05-21 09:40:19.667,101,0.5077722597059386
14,2021-05-21 09:38:18.534,2021-05-21 09:40:19.700,101,0.5078334777961223
15,2021-05-21 09:38:18.567,2021-05-21 09:40:19.734,101,0.5078916721948346
16,2021-05-21 09:38:18.600,2021-05-21 09:40:19.767,101,0.5078773804965885
17,2021-05-21 09:38:18.634,2021-05-21 09:40:19.800,101,0.5078712396790755
18,2021-05-21 09:38:18.667,2021-05-21 09:40:19.834,102,0.5078938158511248
19,2021-05-21 09:38:18.700,2021-05-21 09:40:19.867,102,0.5079206632282701
20,2021-05-21 09:38:18.734,2021-05-21 09:40:19.900,102,0.507914837538513
21,2021-05-21 09:38:18.767,2021-05-21 09:40:19.934,102,0.5078574523347761
22,2021-05-21 09:38:18.800,2021-05-21 09:40:19.967,102,0.5077901270010801
23,2021-05-21 09:38:18.834,2021-05-21 09:40:20.000,102,0.5077318525230463
24,2021-05-21 09:38:18.867,2021-05-21 09:40:20.034,102,0.5076431667473977
25,2021-05-21 09:38:18.900,2021-05-21 09:40:20.067,102,0.5075550536420131
26,2021-05-21 09:38:18.934,2021-05-21 09:40:20.100,102,0.5075351281389053
27,2021-05-21 09:38:18.967,2021-05-21 09:40:20.134,102,0.5075479855041888
