,start,stop,steps_count,average amplitude
0,2021-06-01 07:23:31.834,2021-06-01 07:23:33.800,3,0.5094848606405341
1,2021-06-01 07:23:31.867,2021-06-01 07:23:33.834,3,0.5123699978764887
2,2021-06-01 07:23:31.900,2021-06-01 07:23:33.867,3,0.513258612050167
3,2021-06-01 07:23:31.934,2021-06-01 07:23:33.900,3,0.5195791389602215
4,2021-06-01 07:23:31.967,2021-06-01 07:23:33.934,3,0.5144912836582465
5,2021-06-01 07:23:32.000,2021-06-01 07:23:33.967,3,0.5073167957273603
6,2021-06-01 07:23:32.034,2021-06-01 07:23:34.000,3,0.5026830518932661
7,2021-06-01 07:23:32.067,2021-06-01 07:23:34.034,3,0.5060847497840291
8,2021-06-01 07:23:32.100,2021-06-01 07:23:34.067,3,0.50552452289379
9,2021-06-01 07:23:32.134,2021-06-01 07:23:34.100,3,0.5029622428702238
10,2021-06-01 07:23:32.167,2021-06-01 07:23:34.134,3,0.5042349100862287
11,2021-06-01 07:23:32.200,2021-06-01 07:23:34.167,3,0.507886822039372
12,2021-06-01 07:23:32.234,2021-06-01 07:23:34.200,3,0.5041160853112113
13,2021-06-01 07:23:32.267,2021-06-01 07:23:34.234,3,0.5031624401748136
14,2021-06-01 07:23:32.300,2021-06-01 07:23:34.267,3,0.5045374070081197
15,2021-06-01 07:23:32.334,2021-06-01 07:23:34.300,3,0.507264829678731
16,2021-06-01 07:23:32.367,2021-06-01 07:23:34.334,3,0.5048318738908173
17,2021-06-01 07:24:40.534,2021-06-01 07:24:42.500,3,0.5055580517494912
18,2021-06-01 07:24:40.567,2021-06-01 07:24:42.534,3,0.509650843318549
19,2021-06-01 07:24:40.600,2021-06-01 07:24:42.567,3,0.5136067709094152
20,2021-06-01 07:24:40.634,2021-06-01 07:24:42.600,3,0.5125504539884147
21,2021-06-01 07:24:40.667,2021-06-01 07:24:42.634,3,0.5080218312780359
22,2021-06-01 07:24:40.700,2021-06-01 07:24:42.667,3,0.5050912751718258
23,2021-06-01 07:24:40.734,2021-06-01 07:24:42.700,3,0.5055435057513625
24,2021-06-01 07:24:40.767,2021-06-01 07:24:42.734,3,0.509939923072459
25,2021-06-01 07:24:40.800,2021-06-01 07:24:42.767,3,0.5134043283739904
26,2021-06-01 07:24:40.834,2021-06-01 07:24:42.800,3,0.5123681853094049
27,2021-06-01 07:24:40.867,2021-06-01 07:24:42.834,3,0.5104598295627297
28,2021-06-01 07:24:40.900,2021-06-01 07:24:42.867,3,0.5090824376036603
29,2021-06-01 07:24:40.934,2021-06-01 07:24:42.900,3,0.5065384342689514
30,2021-06-01 07:24:40.967,2021-06-01 07:24:42.934,3,0.5076012237299024
31,2021-06-01 07:24:41.000,2021-06-01 07:24:42.967,3,0.507407632638952
32,2021-06-01 07:24:41.034,2021-06-01 07:24:43.000,3,0.5076409163382533
33,2021-06-01 07:24:41.067,2021-06-01 07:24:43.034,3,0.5082838484517643
34,2021-06-01 07:24:41.100,2021-06-01 07:24:43.067,3,0.5094793654487039
35,2021-06-01 07:24:45.000,2021-06-01 07:24:46.967,3,0.5294289233802002
36,2021-06-01 07:24:45.034,2021-06-01 07:24:47.000,3,0.5409441475076382
37,2021-06-01 07:24:45.067,2021-06-01 07:24:47.034,3,0.5342847429900964
38,2021-06-01 07:24:45.100,2021-06-01 07:24:47.067,3,0.5345264081611474
39,2021-06-01 07:24:45.134,2021-06-01 07:24:47.100,3,0.5379798868940862
40,2021-06-01 07:24:45.167,2021-06-01 07:24:47.134,3,0.5416539792503566
41,2021-06-01 07:24:45.200,2021-06-01 07:24:47.167,3,0.5471887433094802
42,2021-06-01 07:24:45.234,2021-06-01 07:24:47.200,3,0.5433580634717045
43,2021-06-01 07:24:45.267,2021-06-01 07:24:47.234,3,0.5366466681413231
44,2021-06-01 07:24:45.300,2021-06-01 07:24:47.267,3,0.5332625086094399
45,2021-06-01 07:24:45.334,2021-06-01 07:24:47.300,3,0.5362702973411916
46,2021-06-01 07:24:45.367,2021-06-01 07:24:47.334,3,0.5400664208946423
47,2021-06-01 07:24:45.400,2021-06-01 07:24:47.367,3,0.5435729123938308
48,2021-06-01 07:24:45.434,2021-06-01 07:24:47.400,3,0.5458785315546789
49,2021-06-01 07:24:45.467,2021-06-01 07:24:47.434,3,0.5430380372234135
50,2021-06-01 07:24:45.500,2021-06-01 07:24:47.467,3,0.5409787934111074
51,2021-06-01 07:24:45.534,2021-06-01 07:24:47.500,3,0.5398580244437785
52,2021-06-01 07:24:45.567,2021-06-01 07:24:47.534,3,0.5414283344070429
53,2021-06-01 07:24:45.600,2021-06-01 07:24:47.567,3,0.5448143452268003
54,2021-06-01 07:24:45.634,2021-06-01 07:24:47.600,3,0.5482492077237814
55,2021-06-01 07:24:45.667,2021-06-01 07:24:47.634,3,0.5512461480376718
56,2021-06-01 07:24:45.700,2021-06-01 07:24:47.667,3,0.551316704163918
57,2021-06-01 07:24:45.734,2021-06-01 07:24:47.700,3,0.5502641772238962
58,2021-06-01 07:24:47.867,2021-06-01 07:24:49.834,3,0.5208307867647362
59,2021-06-01 07:24:47.900,2021-06-01 07:24:49.867,3,0.5289607176109742
60,2021-06-01 07:24:47.934,2021-06-01 07:24:49.900,3,0.5353600892828768
61,2021-06-01 07:24:47.967,2021-06-01 07:24:49.934,3,0.534908272216683
62,2021-06-01 07:24:48.000,2021-06-01 07:24:49.967,3,0.5280371063212052
63,2021-06-01 07:24:48.034,2021-06-01 07:24:50.000,3,0.5236304560215036
64,2021-06-01 07:24:48.067,2021-06-01 07:24:50.034,3,0.5184137485191671
