,start,stop,steps_count,average amplitude
0,2021-05-13 06:29:26.573,2021-05-13 06:29:28.493,3,0.5239307357893708
1,2021-05-13 06:29:26.653,2021-05-13 06:29:28.573,3,0.5273384844270179
2,2021-05-13 06:29:26.733,2021-05-13 06:29:28.653,3,0.5301250771420584
3,2021-05-13 06:29:26.813,2021-05-13 06:29:28.733,3,0.5296538211063566
4,2021-05-13 06:29:26.893,2021-05-13 06:29:28.813,4,0.5280265985394329
5,2021-05-13 06:29:26.973,2021-05-13 06:29:28.893,4,0.5288863321088618
6,2021-05-13 06:29:27.053,2021-05-13 06:29:28.973,4,0.5282389285999661
7,2021-05-13 06:29:27.133,2021-05-13 06:29:29.053,4,0.5280706779090382
8,2021-05-13 06:29:27.213,2021-05-13 06:29:29.133,4,0.5277451045329414
9,2021-05-13 06:29:27.293,2021-05-13 06:29:29.213,4,0.5208585672244673
10,2021-05-13 06:29:27.373,2021-05-13 06:29:29.293,4,0.521554376259644
11,2021-05-13 06:29:27.453,2021-05-13 06:29:29.373,4,0.5285357206977591
12,2021-05-13 06:29:27.533,2021-05-13 06:29:29.453,4,0.5251570531017483
13,2021-05-13 06:29:27.613,2021-05-13 06:29:29.533,3,0.5195497762073219
14,2021-05-13 06:29:27.693,2021-05-13 06:29:29.613,4,0.5166458806693676
15,2021-05-13 06:29:27.773,2021-05-13 06:29:29.693,4,0.5219934455331909
16,2021-05-13 06:29:27.853,2021-05-13 06:29:29.773,4,0.5203323701021388
17,2021-05-13 06:29:27.933,2021-05-13 06:29:29.853,3,0.5142027795084013
18,2021-05-13 06:29:28.013,2021-05-13 06:29:29.933,3,0.5116115784403488
19,2021-05-13 06:29:28.093,2021-05-13 06:29:30.013,3,0.5115612526690251
20,2021-05-13 06:29:28.173,2021-05-13 06:29:30.093,3,0.511798724290759
21,2021-05-13 06:29:28.253,2021-05-13 06:29:30.173,4,0.5123661098331248
22,2021-05-13 06:29:28.333,2021-05-13 06:29:30.253,4,0.5171092860902523
23,2021-05-13 06:29:28.413,2021-05-13 06:29:30.333,4,0.520158233131086
24,2021-05-13 06:29:28.493,2021-05-13 06:29:30.413,4,0.5193789759347828
25,2021-05-13 06:29:28.573,2021-05-13 06:29:30.493,4,0.5182322922826221
26,2021-05-13 06:29:28.653,2021-05-13 06:29:30.573,4,0.5192441732512142
27,2021-05-13 06:29:28.733,2021-05-13 06:29:30.653,4,0.5199048662708475
28,2021-05-13 06:29:28.813,2021-05-13 06:29:30.733,4,0.5204288738329695
29,2021-05-13 06:29:28.893,2021-05-13 06:29:30.813,3,0.5173628623882566
30,2021-05-13 06:29:28.973,2021-05-13 06:29:30.893,3,0.5168535750735892
31,2021-05-13 06:29:29.053,2021-05-13 06:29:30.973,3,0.5164408013906869
32,2021-05-13 06:29:29.133,2021-05-13 06:29:31.053,3,0.5159174165769288
33,2021-05-13 06:29:29.213,2021-05-13 06:29:31.133,3,0.5162231174591333
34,2021-05-13 06:29:29.293,2021-05-13 06:29:31.213,4,0.5164325542361031
35,2021-05-13 06:29:29.373,2021-05-13 06:29:31.293,4,0.5201906068175131
36,2021-05-13 06:29:29.453,2021-05-13 06:29:31.373,4,0.5233714715866239
37,2021-05-13 06:29:29.533,2021-05-13 06:29:31.453,4,0.523885728902812
38,2021-05-13 06:29:29.613,2021-05-13 06:29:31.533,4,0.5220275000318234
39,2021-05-13 06:29:29.693,2021-05-13 06:29:31.613,3,0.5146994919592607
40,2021-05-13 06:29:29.773,2021-05-13 06:29:31.693,3,0.5132643987015905
41,2021-05-13 06:29:29.853,2021-05-13 06:29:31.773,3,0.5148834344301367
