,start,stop,steps_count,average amplitude
0,2021-06-02 09:11:38.007,2021-06-02 09:13:37.927,100,0.5710079789141124
1,2021-06-02 09:11:38.087,2021-06-02 09:13:38.007,100,0.5712731880754764
2,2021-06-02 09:11:38.167,2021-06-02 09:13:38.087,100,0.5715058538954004
3,2021-06-02 09:11:38.247,2021-06-02 09:13:38.167,100,0.5715527810260014
4,2021-06-02 09:11:38.327,2021-06-02 09:13:38.247,100,0.5715131287707368
5,2021-06-02 09:11:38.407,2021-06-02 09:13:38.327,100,0.5714200178348982
6,2021-06-02 09:11:38.487,2021-06-02 09:13:38.407,100,0.571394718277693
7,2021-06-02 09:11:38.567,2021-06-02 09:13:38.487,101,0.571470694329814
8,2021-06-02 09:11:38.647,2021-06-02 09:13:38.567,101,0.5717107903472353
9,2021-06-02 09:11:38.727,2021-06-02 09:13:38.647,101,0.5718571890518503
10,2021-06-02 09:11:38.807,2021-06-02 09:13:38.727,101,0.5719070335842249
11,2021-06-02 09:11:38.887,2021-06-02 09:13:38.807,101,0.5719543558377158
12,2021-06-02 09:11:38.967,2021-06-02 09:13:38.887,101,0.5720551764718592
13,2021-06-02 09:11:39.047,2021-06-02 09:13:38.967,102,0.5722717478722471
14,2021-06-02 09:11:39.127,2021-06-02 09:13:39.047,102,0.5725500638333658
15,2021-06-02 09:11:39.207,2021-06-02 09:13:39.127,102,0.5727488436356863
16,2021-06-02 09:11:39.287,2021-06-02 09:13:39.207,102,0.5727469343362794
17,2021-06-02 09:11:39.367,2021-06-02 09:13:39.287,102,0.57270182462165
18,2021-06-02 09:11:39.447,2021-06-02 09:13:39.367,102,0.5725765069068276
19,2021-06-02 09:11:39.527,2021-06-02 09:13:39.447,102,0.5724689667200417
20,2021-06-02 09:11:39.607,2021-06-02 09:13:39.527,103,0.5724117650852056
21,2021-06-02 09:11:39.687,2021-06-02 09:13:39.607,103,0.5726307921842075
22,2021-06-02 09:11:39.767,2021-06-02 09:13:39.687,103,0.5726355462941177
23,2021-06-02 09:11:39.847,2021-06-02 09:13:39.767,103,0.5727102650071294
24,2021-06-02 09:11:39.927,2021-06-02 09:13:39.847,103,0.5727592458815484
25,2021-06-02 09:11:40.007,2021-06-02 09:13:39.927,103,0.5727680539467518
26,2021-06-02 09:11:40.087,2021-06-02 09:13:40.007,103,0.5729279506278522
27,2021-06-02 09:11:40.167,2021-06-02 09:13:40.087,103,0.573112675666185
28,2021-06-02 09:11:40.247,2021-06-02 09:13:40.167,103,0.5732309134610973
29,2021-06-02 09:11:40.327,2021-06-02 09:13:40.247,103,0.5732496360096923
30,2021-06-02 09:11:40.407,2021-06-02 09:13:40.327,103,0.5732288490567717
31,2021-06-02 09:11:40.487,2021-06-02 09:13:40.407,103,0.5731963146164438
32,2021-06-02 09:11:40.567,2021-06-02 09:13:40.487,103,0.5731044439689622
33,2021-06-02 09:11:40.647,2021-06-02 09:13:40.567,103,0.5730125604285049
34,2021-06-02 09:11:40.727,2021-06-02 09:13:40.647,103,0.5729688366968406
35,2021-06-02 09:11:40.807,2021-06-02 09:13:40.727,103,0.5730721474736924
36,2021-06-02 09:11:40.887,2021-06-02 09:13:40.807,103,0.5731634655198059
37,2021-06-02 09:11:40.967,2021-06-02 09:13:40.887,102,0.573135288797446
38,2021-06-02 09:11:41.047,2021-06-02 09:13:40.967,102,0.5731205520450836
39,2021-06-02 09:11:41.127,2021-06-02 09:13:41.047,102,0.5731355824202302
40,2021-06-02 09:11:41.207,2021-06-02 09:13:41.127,102,0.5731211466125369
41,2021-06-02 09:11:41.287,2021-06-02 09:13:41.207,102,0.5730910203198012
42,2021-06-02 09:11:41.367,2021-06-02 09:13:41.287,102,0.5730672898452508
43,2021-06-02 09:11:41.447,2021-06-02 09:13:41.367,102,0.5730556328870707
44,2021-06-02 09:11:41.527,2021-06-02 09:13:41.447,102,0.5730912218911449
45,2021-06-02 09:11:41.607,2021-06-02 09:13:41.527,102,0.5730720089207193
46,2021-06-02 09:11:41.687,2021-06-02 09:13:41.607,102,0.5730906869360963
47,2021-06-02 09:11:41.767,2021-06-02 09:13:41.687,102,0.5731032245047452
48,2021-06-02 09:11:41.847,2021-06-02 09:13:41.767,102,0.5730660141264253
49,2021-06-02 09:11:41.927,2021-06-02 09:13:41.847,102,0.5730491534004406
50,2021-06-02 09:11:42.007,2021-06-02 09:13:41.927,102,0.573046230256683
51,2021-06-02 09:11:42.087,2021-06-02 09:13:42.007,102,0.5730888531402253
52,2021-06-02 09:11:42.167,2021-06-02 09:13:42.087,103,0.5731818500621862
53,2021-06-02 09:11:42.247,2021-06-02 09:13:42.167,103,0.5733175251503025
54,2021-06-02 09:11:42.327,2021-06-02 09:13:42.247,103,0.5734023731424852
55,2021-06-02 09:11:42.407,2021-06-02 09:13:42.327,103,0.5735042343520179
56,2021-06-02 09:11:42.487,2021-06-02 09:13:42.407,103,0.5735371763134491
57,2021-06-02 09:11:42.567,2021-06-02 09:13:42.487,103,0.573499469571774
58,2021-06-02 09:11:42.647,2021-06-02 09:13:42.567,103,0.5735059744887
59,2021-06-02 09:11:42.727,2021-06-02 09:13:42.647,103,0.573463670416782
60,2021-06-02 09:11:42.807,2021-06-02 09:13:42.727,103,0.5734163386685532
61,2021-06-02 09:11:42.887,2021-06-02 09:13:42.807,103,0.573524176767881
62,2021-06-02 09:11:42.967,2021-06-02 09:13:42.887,103,0.5735505849703523
63,2021-06-02 09:11:43.047,2021-06-02 09:13:42.967,103,0.573534493879775
