Timestamp;GT3X Steps
7:00:00;3
7:01:00;0
7:02:00;13
7:03:00;13
7:04:00;4
7:05:00;0
7:06:00;1
7:07:00;0
7:08:00;1
7:09:00;11
7:10:00;17
7:11:00;9
7:12:00;6
7:13:00;3
7:14:00;1
7:15:00;0
7:16:00;0
7:17:00;3
7:18:00;0
7:19:00;0
7:20:00;0
7:21:00;0
7:22:00;16
7:23:00;2
7:24:00;7
7:25:00;19
7:26:00;0
7:27:00;8
7:28:00;10
7:29:00;6
7:30:00;7
7:31:00;17
7:32:00;20
7:33:00;2
7:34:00;3
7:35:00;40
7:36:00;19
7:37:00;6
7:38:00;21
7:39:00;18
7:40:00;16
7:41:00;8
7:42:00;17
7:43:00;14
7:44:00;9
7:45:00;19
7:46:00;28
7:47:00;23
7:48:00;25
7:49:00;2
7:50:00;4
7:51:00;3
7:52:00;0
7:53:00;6
7:54:00;18
7:55:00;11
7:56:00;19
7:57:00;17
7:58:00;14
7:59:00;15
8:00:00;2
8:01:00;73
8:02:00;84
8:03:00;30
8:04:00;60
8:05:00;14
8:06:00;83
8:07:00;126
8:08:00;122
8:09:00;15
8:10:00;14
8:11:00;116
8:12:00;123
8:13:00;105
8:14:00;23
8:15:00;1
8:16:00;7
8:17:00;7
8:18:00;14
8:19:00;21
8:20:00;67
8:21:00;16
8:22:00;3
8:23:00;18
8:24:00;3
8:25:00;40
8:26:00;64
8:27:00;7
8:28:00;3
8:29:00;0
8:30:00;27
8:31:00;4
8:32:00;0
8:33:00;2
8:34:00;9
8:35:00;7
8:36:00;5
8:37:00;1
8:38:00;1
8:39:00;1
8:40:00;0
8:41:00;0
8:42:00;0
8:43:00;0
8:44:00;0
8:45:00;0
8:46:00;0
8:47:00;0
8:48:00;0
8:49:00;1
8:50:00;3
8:51:00;0
8:52:00;0
8:53:00;0
8:54:00;0
8:55:00;25
8:56:00;40
8:57:00;0
8:58:00;1
8:59:00;44
9:00:00;0
9:01:00;1
9:02:00;2
9:03:00;1
9:04:00;0
9:05:00;3
9:06:00;2
9:07:00;30
9:08:00;1
9:09:00;0
9:10:00;0
9:11:00;0
9:12:00;2
9:13:00;63
9:14:00;1
9:15:00;73
9:16:00;15
9:17:00;0
9:18:00;0
9:19:00;4
9:20:00;13
9:21:00;28
9:22:00;1
9:23:00;0
9:24:00;0
9:25:00;0
9:26:00;0
9:27:00;11
9:28:00;1
9:29:00;0
9:30:00;2
9:31:00;0
9:32:00;1
9:33:00;0
9:34:00;0
9:35:00;1
9:36:00;0
9:37:00;0
9:38:00;0
9:39:00;7
9:40:00;2
9:41:00;0
9:42:00;7
9:43:00;0
9:44:00;0
9:45:00;0
9:46:00;67
9:47:00;51
9:48:00;32
9:49:00;9
9:50:00;2
9:51:00;0
9:52:00;8
9:53:00;0
9:54:00;2
9:55:00;0
9:56:00;0
9:57:00;0
9:58:00;12
9:59:00;0
10:00:00;0
10:01:00;0
10:02:00;0
